"Player","Team","POS","RUSHATT","RUSHYDS","RUSHTDS","REC","RECYDS","RECTDS","FL","FPTS"
"Christian McCaffrey","SF","RB1","274.2","1,294.6","11.7","69.9","566.2","4.8","1.7","351.4"
"CeeDee Lamb","DAL","WR1","9.8","68.4","0.8","116.4","1,495.4","9.7","1.1","333.8"
"Tyreek Hill","MIA","WR2","5.2","30.5","0.1","110.2","1,542.4","9.8","1.0","325.1"
"Breece Hall","NYJ","RB2","249.9","1,121.9","7.8","66.9","529.6","3.8","1.4","299.2"
"Ja'Marr Chase","CIN","WR3","3.0","12.6","0.1","106.4","1,347.6","9.3","0.7","297.5"
"Amon-Ra St. Brown","DET","WR4","4.5","31.2","0.1","110.9","1,354.1","8.2","0.9","297.4"
"Justin Jefferson","MIN","WR5","1.2","3.9","0.0","104.5","1,446.6","7.6","1.0","293.5"
"Bijan Robinson","ATL","RB3","238.7","1,093.4","7.3","65.1","531.9","4.3","2.2","292.5"
"Puka Nacua","LAR","WR6","9.5","57.6","0.2","96.2","1,316.3","7.4","0.7","277.8"
"A.J. Brown","PHI","WR7","0.0","1.4","0.0","94.4","1,342.3","8.6","1.3","277.6"
"Saquon Barkley","PHI","RB4","269.6","1,140.1","9.1","49.0","351.5","3.0","1.7","267.7"
"Garrett Wilson","NYJ","WR8","3.9","19.2","0.1","95.4","1,187.1","8.2","1.3","262.9"
"Jonathan Taylor","IND","RB5","283.0","1,269.2","10.0","37.2","279.5","1.6","1.4","259.1"
"Davante Adams","LV","WR9","0.0","1.0","0.0","94.4","1,153.1","7.0","0.5","250.4"
"Jahmyr Gibbs","DET","RB6","201.3","946.3","8.4","55.0","392.3","2.2","1.4","249.6"
"Kyren Williams","LAR","RB7","258.1","1,154.1","10.3","36.3","263.9","2.2","1.7","249.6"
"Chris Olave","NO","WR10","0.0","1.0","0.0","89.6","1,201.5","6.6","0.6","248.4"
"Marvin Harrison Jr.","ARI","WR11","0.5","3.6","0.0","87.9","1,166.4","6.8","1.5","242.5"
"Drake London","ATL","WR12","0.0","2.2","0.0","86.8","1,133.2","7.0","0.9","240.6"
