"Player","POS","Team","POS ADP","ADP","Prev ADP","Δ"
"Christian McCaffrey","RB","San Francisco 49ers","RB1","1.3","1.3","0.0"
"CeeDee Lamb","WR","Dallas Cowboys","WR1","2.0","2.0","0.0"
"Tyreek Hill","WR","Miami Dolphins","WR2","3.1","3.1","0.0"
"Ja'Marr Chase","WR","Cincinnati Bengals","WR3","4.2","4.1","-0.1"
"Justin Jefferson","WR","Minnesota Vikings","WR4","5.4","5.4","0.0"
"Amon-Ra St. Brown","WR","Detroit Lions","WR5","6.0","5.9","-0.1"
"Bijan Robinson","RB","Atlanta Falcons","RB2","6.8","7.0","0.2"
"Breece Hall","RB","New York Jets","RB3","8.1","8.3","0.2"
"A.J. Brown","WR","Philadelphia Eagles","WR6","8.8","8.9","0.1"
"Puka Nacua","WR","Los Angeles Rams","WR7","10.5","10.0","-0.5"
"Garrett Wilson","WR","New York Jets","WR8","10.7","10.8","0.1"
"Jahmyr Gibbs","RB","Detroit Lions","RB4","12.9","12.9","0.0"
"Marvin Harrison","WR","Arizona Cardinals","WR9","13.5","13.5","0.0"
"Drake London","WR","Atlanta Falcons","WR10","14.8","14.6","-0.2"
"Jonathan Taylor","RB","Indianapolis Colts","RB5","16.1","16.5","0.4"
"Chris Olave","WR","New Orleans Saints","WR11","17.2","16.6","-0.6"
"Nico Collins","WR","Houston Texans","WR12","17.5","18.1","0.6"
"Deebo Samuel","WR","San Francisco 49ers","WR13","18.1","21.4","3.3"
"Davante Adams","WR","Las Vegas Raiders","WR14","19.2","19.3","0.1"
"Jaylen Waddle","WR","Miami Dolphins","WR15","19.8","19.6","-0.2"
"Saquon Barkley","RB","Philadelphia Eagles","RB6","20.6","20.9","0.3"
"Brandon Aiyuk","WR","San Francisco 49ers","WR16","21.7","17.9","-3.8"
"Mike Evans","WR","Tampa Bay Buccaneers","WR17","23.5","23.2","-0.3"
"De'Von Achane","RB","Miami Dolphins","RB7","23.8","25.3","1.5"
